CUST_ACCT_ID,  TARGET_NET_SALES  ,  TARGET_GROSS_PROFIT  ,YR_MTH
763560,4971,681,4/1/2024
64652,5014,688,4/1/2024
585446,2018,305,4/1/2024
638653,15954,394,4/1/2024
28422,2802,442,4/1/2024
576312,10683,2217,4/1/2024
444075,2435,273,4/1/2024
46100,6647,336,4/1/2024
153494,984,119,4/1/2024
150847,461,33,4/1/2024
103713,2297,278,4/1/2024
153742,984,119,4/1/2024
519748,1537,161,4/1/2024
149891,14397,624,4/1/2024
152264,3201,300,4/1/2024
567503,26401,1541,4/1/2024
415943,1641,199,4/1/2024
456900,1969,239,4/1/2024
931014,8627,1222,4/1/2024
847339,3595,472,4/1/2024
86476,282,54,4/1/2024
110104,1128,214,4/1/2024
861463,951,159,4/1/2024
185302,3143,440,4/1/2024
43632,564,107,4/1/2024
760800,2255,427,4/1/2024
121521,1691,321,4/1/2024
391741,3378,507,4/1/2024
115408,564,107,4/1/2024
745438,1409,267,4/1/2024
477926,1784,293,4/1/2024
505481,3143,440,4/1/2024
390732,365250,5595,4/1/2024
362283,1128,214,4/1/2024
381641,1969,240,4/1/2024
181673,9756,1361,4/1/2024
594778,1313,160,4/1/2024
75022,1128,214,4/1/2024
753043,846,161,4/1/2024
288491,2066,348,4/1/2024
678846,1409,267,4/1/2024
416087,972,1,4/1/2024
639121,282,53,4/1/2024
756282,631,110,4/1/2024
580612,3096,454,4/1/2024
359655,2251,293,4/1/2024
975800,1116034,9490,4/1/2024
444852,648,1,4/1/2024
681841,3942,614,4/1/2024
152637,656,79,4/1/2024
88785,984,119,4/1/2024
824472,1313,159,4/1/2024
409829,1128,214,4/1/2024
153965,2124,249,4/1/2024
326826,1566,222,4/1/2024
279251,2019,23,4/1/2024
152322,2210,164,4/1/2024
152922,5460,586,4/1/2024
470716,1969,238,4/1/2024
50908,984,119,4/1/2024
668570,1914,148,4/1/2024
502840,984,119,4/1/2024
459891,2876,419,4/1/2024
931048,6470,934,4/1/2024
244509,837,16,4/1/2024
872717,1078,161,4/1/2024
930990,2876,419,4/1/2024
67197,282,54,4/1/2024
197154,1641,200,4/1/2024
680975,3938,479,4/1/2024
441740,2533,346,4/1/2024
333102,282,53,4/1/2024
677292,23038,2196,4/1/2024
519819,3472,474,4/1/2024
445496,1296,1,4/1/2024
300257,6806,7,4/1/2024
543906,924,2,4/1/2024
498254,1384,218,4/1/2024
42934,1266,174,4/1/2024
430867,1973,374,4/1/2024
745412,2281,409,4/1/2024
753113,4538,825,4/1/2024
27844,1238,512,4/1/2024
151852,1969,239,4/1/2024
931006,11862,1707,4/1/2024
279356,2157,324,4/1/2024
931188,2157,285,4/1/2024
112723,4314,593,4/1/2024
459826,3595,472,4/1/2024
931147,3235,429,4/1/2024
626942,846,160,4/1/2024
416747,616,2,4/1/2024
844085,1691,320,4/1/2024
552381,23473,1129,4/1/2024
442062,403,15,4/1/2024
331170,282,53,4/1/2024
336176,10279,1242,4/1/2024
52404,3050,467,4/1/2024
53961,1409,267,4/1/2024
123241,1796,320,4/1/2024
417536,1184587,844,4/1/2024
573995,1973,374,4/1/2024
433344,4594,559,4/1/2024
295588,2486,360,4/1/2024
28727,2475,238,4/1/2024
153635,1969,238,4/1/2024
107102,1416,152,4/1/2024
150990,1959,362,4/1/2024
46744,2872,193,4/1/2024
149408,984,119,4/1/2024
152579,207,15,4/1/2024
342425,984,119,4/1/2024
487647,5033,177,4/1/2024
117465,7908,1145,4/1/2024
930974,28458,2557,4/1/2024
773220,2768,414,4/1/2024
79071,2722,427,4/1/2024
541759,4270,653,4/1/2024
441525,1973,374,4/1/2024
296968,2308,431,4/1/2024
935342,14247,572,4/1/2024
697234,1514,266,4/1/2024
844078,1594,213,4/1/2024
834858,10869,1518,4/1/2024
103443,-1736,-45,4/1/2024
882916,1142,207,4/1/2024
588164,10487,398,4/1/2024
761477,829,60,4/1/2024
325216,1335,204,4/1/2024
107300,9817,929,4/1/2024
719575,2662,186,4/1/2024
451277,328,40,4/1/2024
109256,1678,67,4/1/2024
154054,328,40,4/1/2024
154391,197,317,4/1/2024
528307,1641,198,4/1/2024
144501,2662,180,4/1/2024
766461,2973,200,4/1/2024
466061,3501,220,4/1/2024
804520,3594,580,4/1/2024
450046,984,119,4/1/2024
464086,2643,143,4/1/2024
342103,1969,238,4/1/2024
253317,1128,214,4/1/2024
931170,2876,461,4/1/2024
441418,1641,200,4/1/2024
842018,2924,533,4/1/2024
58630,846,160,4/1/2024
475365,1128,214,4/1/2024
390674,36353,3403,4/1/2024
644068,82570,1340,4/1/2024
52512,1973,374,4/1/2024
96945,3206,587,4/1/2024
682187,1128,214,4/1/2024
973840,6142,785,4/1/2024
755525,4546,577,4/1/2024
691383,7801,232,4/1/2024
640906,207,15,4/1/2024
158844,2510,43,4/1/2024
159005,7399,296,4/1/2024
28723,1598,278,4/1/2024
341476,1969,239,4/1/2024
445064,975,243,4/1/2024
463372,328,40,4/1/2024
234391,6346,362,4/1/2024
464457,2115,334,4/1/2024
764912,975,206,4/1/2024
444992,2517,102,4/1/2024
444430,3697,489,4/1/2024
532829,984,119,4/1/2024
138068,3647,306,4/1/2024
506822,3647,306,4/1/2024
267581,1641,199,4/1/2024
151613,1666,256,4/1/2024
151134,328,40,4/1/2024
106690,8755,789,4/1/2024
109694,2970,155,4/1/2024
102350,328,40,4/1/2024
108290,1157,100,4/1/2024
134590,984,119,4/1/2024
132312,1347,146,4/1/2024
106260,1678,67,4/1/2024
108159,984,119,4/1/2024
105056,2662,186,4/1/2024
109702,2517,106,4/1/2024
107052,7002,441,4/1/2024
106716,2871,436,4/1/2024
102657,28904,987,4/1/2024
106708,328,40,4/1/2024
102947,7550,303,4/1/2024
528042,984,119,4/1/2024
108241,8809,354,4/1/2024
105130,6876,147,4/1/2024
105635,1959,325,4/1/2024
462986,328,40,4/1/2024
171770,1261,139,4/1/2024
721662,1969,239,4/1/2024
105726,1382,100,4/1/2024
109116,2845,139,4/1/2024
154443,6711,289,4/1/2024
432378,0,93,4/1/2024
406075,4460,293,4/1/2024
144303,1078,142,4/1/2024
931030,3595,474,4/1/2024
330980,5032,686,4/1/2024
289603,3235,466,4/1/2024
37860,4314,590,4/1/2024
176510,8536,679,4/1/2024
998432,4314,627,4/1/2024
20150,8300,1106,4/1/2024
35017,5818,880,4/1/2024
756224,2251,293,4/1/2024
424690,3231,82,4/1/2024
28752,2882,187,4/1/2024
151209,656,79,4/1/2024
156661,1959,325,4/1/2024
157081,3501,207,4/1/2024
152341,328,40,4/1/2024
103838,1313,159,4/1/2024
604454,975,206,4/1/2024
604231,984,119,4/1/2024
671093,1969,239,4/1/2024
807024,5034,193,4/1/2024
528315,1959,325,4/1/2024
334771,984,119,4/1/2024
624756,276,19,4/1/2024
444398,984,119,4/1/2024
131794,6711,244,4/1/2024
444125,2944,445,4/1/2024
154104,1678,-4490,4/1/2024
150805,984,119,4/1/2024
415034,984,119,4/1/2024
103317,2006,108,4/1/2024
283759,3627,359,4/1/2024
109637,276,100,4/1/2024
108050,984,119,4/1/2024
106583,837,13,4/1/2024
111918,5282,258,4/1/2024
106856,3938,476,4/1/2024
151985,3591,648,4/1/2024
446088,7002,442,4/1/2024
444778,328,40,4/1/2024
778160,984,119,4/1/2024
912982,984,119,4/1/2024
985218,3281,397,4/1/2024
